Name,Revenue,HQ Location,LinkedIn URL,Website,Company description,Country,Revenue_M,Main Broker,Main Insurer,Hubspot
Groupe Olky,45879487.0,"Luxembourg, Luxembourg, Luxembourg",https://www.linkedin.com/company/olky-payment-service-provider-s-a,www.olky.eu,"Un univers de services autour de votre néobanque OlkyPay agréée par la CSSF & l’ACPR. Olky est la solution complète pour gérer votre compte professionnel, vérifier l’identité de vos clients et bénéficier d’un e-portefeuille pour recevoir, convertir et envoyer vos euros et vos cryptos en toute simplicité.",Luxembourg,45.879487,,,
Joompay,13826694.0,"Luxembourg, Luxembourg, Luxembourg",https://www.linkedin.com/company/joompay,joompay.com,"Joompay is a fintech company from Luxembourg focused on both b2b and b2c markets. We offer payment solutions carefully curated to meet different business needs: 1. Payouts for global marketplaces, 2. Payment acceptance for clients all over the world,  3. B2C features for daily banking in Europe. Payouts: Our product is a PSP-agnostic payout solution for marketplaces. It lets you use any pay-in provider of your choice (acquirers and local payment methods) and perform payouts to your sellers while staying compliant with PSD2 regulation. We take care of the entire payment flow - from seller onboarding and KYC to offering multiple withdrawal options. We rid you of any hassles that usually come with payouts, in order to help you grow your business faster. Payment acceptance: We created an effortless payment acceptance flow with simple integration and global coverage to help you reach clients from different markets. The entire set-up process consists of 1 contract-signing for you to start accepting payments within the first week. We take care of all your PCI-DSS and PSD2 security needs and offer multiple payouts options to give you the best user experience. Joompay B2C. We focus on a limited number of key features to offer you a fast and absolutely free service for daily transactions in Europe. You can open an account in less than 2 minutes and instantly get an IBAN and a Visa card. Our Joompay card comes in both virtual and plastic options to help you with shopping online and in stores.",Luxembourg,13.826694,,,
La Royale Investments,6918362.0,"Luxembourg, Luxembourg, Luxembourg",https://www.linkedin.com/company/la-royale-investments,www.lri.sg,"La Royale Investments is a venture capital and private equity Investments. With a diversified portfolio spanning fintech through La Royale Fintech Investments, real estate with La Royale Properties Investments and gaming with La Royale Gaming Investments, the group solidifies its commitment to innovation and excellence .",Luxembourg,6.918362,,,
Lio Factory,6913347.0,"Luxembourg, Luxembourg, Luxembourg",https://www.linkedin.com/company/lio-factory,www.liofactory.com,We build and invest in revolutionary companies in Fintech and Deeptech,Luxembourg,6.913347,,,
Millennia SICAV RAIF,628486.0,"Luxembourg, Belvaux, 2 Avenue Du Blues, l-4368",https://www.linkedin.com/company/p2p-lending-fund,www.millennia.fund,"Millennia SICAV-RAIF is a Luxembourg based fund specialized on alternative investments. Its first sub-fund, the P2P Lending Fund fund is seeking to provide an attractive level of returns by investing in US consumer loans originated by leading online lenders (also referred to as fintech lenders).  The focus of the fund is to build a risk-adjusted, diversified portfolio of loans originated to US prime borrowers, segmented by maturities (2 to 5 years) and risk profiles, with a low volatility, a low duration and a low correlation to other asset classes. The Fund is denominated in USD and offers shares classes in USD, EUR (hedged) and CHF (hedged).",Luxembourg,0.628486,,,
MyBucks,206921918.0,"Luxembourg, Luxembourg, Luxembourg",https://www.linkedin.com/company/mybucks,,"MyBucks S.A. (WKN: A2AJLT, ISIN: LU1404975507, Ticker Symbol: MBC:GR) is a FinTech company based in Luxembourg that delivers seamless financial services through technology. Through its brands GetBucks, GetSure, New Finance Bank and Fairgo Finance, the company offers impact loans, unsecured credit, banking solutions as well as insurance products to customers.  MyBucks has experienced exponential growth since its inception in 2011 and today has operations in eleven African and one European country as well as in Australia. MyBucks aims to ensure that its product offering is accessible, simple and trustworthy, in comparison to traditional, non-technological methods, working towards enhancing the benefits to the customer. The MyBucks’ product offering enables customers to manage their financial affairs easily and conveniently.",Luxembourg,206.921918,,,
NadiFin Fintech Accelerator,628942.0,"Luxembourg, Luxembourg, Luxembourg, 9 Rue Du Laboratoire, 1911",https://www.linkedin.com/company/35616527,www.nadifin.com,"The NadiFin Acceleration program powered by MiddleGame Ventures and Farvest in partnership with the LHoFT focus's exclusively on cutting edge fintech companies post seed and pre series B preparing for investment that are using AI/ML, Big Data Analytics, Blockchain and other “deeptech” tools to create seamless solutions and businesses for the European financial services market.",Luxembourg,0.628942,,,
OPEXIA Advisory,11589741.0,"Luxembourg, Capellen, 38 Rue Pafebruch Mamer, l-8308",https://www.linkedin.com/company/ngr-consulting,www.opexia.lu,"OPEXIA Advisory (former NGR Consulting) is an independent young and growing consulting firm active in the areas of business and technology consulting, in the financial sector. We started our operations in 2004, initially providing expertise and project management capabilities in private banking and subsequently expanding to fund services and capital markets. Our convictions allowed us to get a track record often announcing future trends:    - In 2004, we were offering the structuration of “securities lending” in order to maximise revenues of Assets servicers/Assets Managers in Luxembourg    - In 2007, our studies showed the coming changes in the Private Banking and Wealth management and the scissor effect affecting the sector players.    - In 2009, we anticipated new strategic models for private banking and the changes on the offshore/onshore model.    - We also forecasted the breakdown of the value chain in Private Banking and the emergence of family offices.   -  For some years now we have been investing in the Fintech trend thanks to our Opexia PSF incubator. Although Luxembourg has been chosen as a centre of excellence for financial services’ practices, we are currently active in other European countries - France, Belgium, Netherlands .. – and are expanding our services into new ones.",Luxembourg,11.589741,,,
Payconiq Luxembourg,3776004.0,"Luxembourg, Luxembourg, Luxembourg, 9-11 Rue Joseph Junck, l-1839",https://www.linkedin.com/company/payconiqluxembourg,payconiq.lu,"In Luxembourg, Payconiq (www.payconiq.lu) is the leading mobile payment solution. It was launched in 2012 as a start-up (called Digicash) focusing on mobile payments. It quickly managed to partner with the 5 leading banks (Spuerkeess, BGL BNP Paribas, BIL, POST, Raiffeisen) that issue the Payconiq supported apps to their customer base. The company handles merchant affiliation too: Luxembourg’s top retailers and bill issuers have joined in. Today, the Payconiq supported apps is actively used by 50% of the population (18-65yo) and became the new normal in digital payments in Luxembourg. With solid foundations in terms of products and partners, in 2017, Digicash decided it was time for the fintech to gain scale. Rather than attacking international markets alone, they decided to entrust the start-up to a more impactful group in Europe: Payconiq International. Luxembourg became the home of Payconiq and the centre of command for its international development. Ideally placed at the heart of Europe, the Grand Duchy has become a true hub for innovative tech companies in the last years. Payconiq is a European payments FinTech active in BeLux. Luxembourg-based fintech specialised in payments. Our vision is to develop and shape the payments industry of the future. We strive to be a trusted partner and lead in smart processing and payment solutions across Europe.",Luxembourg,3.776004,,,
Privalux Management,5031536.0,"Luxembourg, Luxembourg, Luxembourg, 45 Allée Scheffer, 2520",https://www.linkedin.com/company/privalux-management1724,www.privalux.lu,"EXPERIENCE For more than 30 years, Privalux Management successfully accompanies its private clients in the management of their wealth. Together, they celebrated many successes and also faced the most challenging market crises, but the loyalty of its clientele is the most glaring testimony to the maturity of Privalux Management and deep experience in the financial markets. Today, our clients can rely on a solid and fully independent partner which is 100% owned by its promoters, professionals of the financial sector.    AMBITIONS Privalux Management aspires to embrace the key factors of technical progress in asset management, materialized by the emergence of fintechs and artificial intelligence. A more intimate LISTENING quality and the attentive satisfaction of new needs thus raised are the levers that Privalux wants to move to support its customers in the digital world. But technological progress would be nothing without research and intellectual innovation, especially towards new asset classes, but also in the style of a management system at the service of greater performance and even better controlled risks. Privalux remains attentive, through the research it promotes and the continuous training of its team, to master the tools and management models and to create original and individual solutions for its clients. GOVERNANCE Privalux Management is regulated by the FSSC (http://www.cssf.lu/en). As such, it is subject to all the legislative and regulatory provisions of the EU in the financial areas in which the company is active. Its agreements allow it to deliver the services of Investment Consulting, Asset Management and Family Office on both, the territory of Luxembourg, but also in the EU countries for which it has requested the agreements based on the Freedom of Services provisions.    Beyond the rules imposed by the Supervisory Authorities, Privalux observes a strict governance charter whose the three key words are: ethics, loyalty and transparency.",Luxembourg,5.031536,,,
